codebook,cname,edate,ccode,year,month,coup,confidence,added,coder,cmps,mmdd,Narrative,confirmed,sources,location1,location2,location3,location4,location5,location6,location7,location8,Johnson
,Uganda,2/19/1977,500,1977,2,0,1,1,cmps,1,1,Soldiers of the Tiger battalion overpowered their superior officers at the barracks in Mubende. The forces were reported to be members of the Lango and Acholi tribes.,,1. Seized after a rally. The New York Times. February 17 1977. PROQ. 2. Amin acknowledges mutiny in his army. New York Times. February 24 1977. PROQ. 3. Uganda says 'dissidents in army' caused strife resulting in deaths. New York Times. February 23 1977. PROQ.,"Mubende, Uganda",,,,,,,,
,Uganda,10/3/1978,500,1978,10,0,1,2,jmp,0,0,A mutiny is reportedly repressed at Tororo.,,1. LM. Uganda. October 3. 2. Grahame 1980,,,,,,,,,
,Uganda,10/30/1978,500,1978,10,0,1,2,jmp,0,1,"""Countrywide army mutiny""",,Otunnu 2016; MMDD,"Mbarara, Uganda",,,,,,,,
,Uganda,6/19/1981,500,1981,6,0,1,2,jmp,0,0,"Over 1000 soldiers mutiny in Arua, complaining of lack of supplies and engaging in looting",,"1. Uganda, Le Monde, June 23, 1981","Arua, West Nile Province, Uganda",,,,,,,,
,Uganda,9/5/1981,500,1981,9,0,1,2,jmp,0,0,"Soldiers mutiny in Wakiso over lack of supplies and treatment by superiors, looting dozens of homes. #Is this just looting?",,"1. Uganda, Le Monde, September 8, 1981","Wakiso, Uganda",,,,,,,,
,Uganda,7/27/1985,500,1985,7,0,0,2,jmp,0,0,"Soldiers block roads and a railroad in ""Acholi country""; treated as associated with coup",is this distinct from coup?,1. Mutinies in the army add to climate of bloody anarchy,Northern Uganda#,,,,,,,,
,Uganda,6/#/1985,500,1985,6,0,1,2,jmp,0,0,"Acholi soldiers in the Special Brigade, frustrated with carrying the weight of fighting mutiny in Jinja barracks, refusing a new deployment to Fort Portal",,Cooper & Fontanella,,,,,,,,,
,Uganda,8/#/1978,500,1978,8,0,1,2,jmp,0,0,Primarily Lugbara mutineer loyal to General Adrisi mutiny,,Kasozi 2016; Cooper & Fontanella,,,,,,,,,
,Kenya,1/24/1964,501,1964,1,0,1,1,cmps,1,1,"Soldiers of the Kenya Rifles mutinied in Nairobi and Nakuru, protesting the wages African soldiers were being paid. The soldiers seized an armory and engaged in ""sit-down strikes.""",,"1. Parsons, Timothy.2007. ""The Lanet Incident, 2-25 1964: Military Unrest and National Amnesia in Kenya."" International Journal of African Historical Studies 40(1): 51-70. 2. British aid Kenya as her soldiers mutiny over pay. The New York Times. January 24 1965. PROQ. 3. British put down African mutinies in three nations. January 26 1964. Google. Mazrui, Ali and Donald Rothchild. 1967. ""The Soldier and the State in East Africa: Some theoretical Conclusions on the army mutinies of 1964."" The Western Political Quarterly 20(1): 82-96.","Nairobi, Kenya","Nakuru, Kenya",,,,,,,
,Tanzania,1/19/1964,510,1964,1,0,1,1,cmps,1,1,"The army mutinied shortly after independence in the capital, occupying key government buildings, radio stations, and transport hubs, demanding the Africanization of the armed forces and pay increases.",,"1. Unrest spreads in new Africa: Recent events reflect problems facing the emerging nations. January 26 1964. New York Times. PROQ. 2. Remembering the 1964 Army mutiny [opinion]. The Citizen (Dar es Salam). October 28 2011. LN. 3. Tanzania military history, 1964 mutiny. GlobalSecurity.org. Google.","Dar es Salam, Tanzania",,,,,,,,
,Tanzania,1/1/1983,510,1983,1,0,0,1,cmps,1,1,"A small number of soldiers, reportedly involving officers from the Haya tribe, mutinied over ""economic malaise.""; this appears to be an alleged coup plot",,1. Failed mutiny is reported in Tanzania. New York Times. January 23 1983. PROQ. 2. Tanzania coup plot uncovered. January 22 1983. Google. Available from: https://www.upi.com/Archives/1983/01/22/Tanzania-coup-plot-uncovered/8958412059600/,Unknown,,,,,,,,
,Burundi,10/19/1965,516,1965,10,0,0,2,jmp,0,0,Hutu soldiers mutiny at camps after attempted coup.,,Lemarchand 1970,,,,,,,,,
,Burundi,3/5/1995,516,1995,3,0,0,0,jmp,0,1,Treating as intra-force violence; no clear display of mutiny,,,,,,,,,,,
,Burundi,1/9/2009,516,2009,1,0,1,1,cmps,1,0,"Soldiers mutinied while on a peacekeeping mission in Somalia, arming themselves without permission and accusing officers of stealing their wages. The soldiers were demanding $6000 US (a figure that includes unpaid monthly salaries, daily food ration payments, and a deployment fee.)",,1. Burundian soldiers in sit-in in Somalia over salaries. BBC Monitoring Africa. January 9 2009. LN. 2. Burundi peace troops 'mutinied.' BBC News. Februrary 5 2010. Google.,Unknown location in Somalia,,,,,,,,
,Burundi,4/#/1972,516,1972,4,0,0,0,jmp,0,0,Potential mutiny during 4/29/1972 rampage ,,,,,,,,,,,
,Somalia,2/12/1982,520,1982,2,0,1,1,cmps,1,0,"Soldiers in units across the north of Somalia mutinied, protesting the execution of several senior army officers without trial or conviction. The mutiny encompassed troops from Borama, Gabileh, Deba, and Gor Iyo Alol.",,1. The Horn of Africa; In brief; Somali dissidents claims on arrests of mutineers. BBC Summary of World Broadcasts. February 15 1982. LN. 2. Somali denial of mutiny reports. BBC Summary of World Broadcasts. February 16 1982. LN. 3. The situation in the north-west region of Somalia. BBC Summary of World Broadcasts. March 1 1982. LN. 4. Somalia crushes army mutiny. The Globe and Mail. February 12 1982. LN. 5. Somali army mutiny reported. The Washington Post. February 12 1982. LN.,"Borama, Somalia","Gabileh, Somalia","Deba Lef, Somalia","Gor Iyo Alol, Somalia",,,,,
,Somalia,4/1/1989,520,1989,4,0,1,2,jmp,0,1,"Soldiers mutiny in Kismayo in March, and again in April",,Nation 1989 Somali troops start new rebellion,,,,,,,,,
